# t=0開傘 (Up to date)
# 1065 data points written for 8 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (21.4 m/s):  "Parachute"
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral velocity (m/s),Angle of attack (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
8.643,805.992,82.364,11.469,171.386,0.035,24.509,0.246
8.693,810.096,81.792,11.437,172.611,0.036,24.471,0.304
8.743,814.172,81.222,11.405,173.833,0.036,24.431,0.364
8.793,818.219,80.654,11.393,175.054,0.037,24.392,0.284
8.843,822.237,80.086,11.365,176.272,0.037,24.355,0.321
8.893,826.227,79.52,11.324,177.489,0.038,24.315,0.46
8.943,830.189,78.956,11.321,178.704,0.038,24.275,0.319
8.993,834.123,78.391,11.307,179.917,0.039,24.239,0.269
9.043,838.028,77.827,11.283,181.128,0.039,24.203,0.285
9.093,841.906,77.265,11.266,182.337,0.04,24.167,0.258
9.143,845.755,76.703,11.263,183.544,0.04,24.134,0.134
9.193,849.576,76.14,11.257,184.75,0.041,24.103,0.028
9.243,853.369,75.578,11.251,185.955,0.041,24.076,0.066
9.293,857.134,75.017,11.224,187.158,0.042,24.049,0.02
9.343,860.871,74.456,11.24,188.36,0.042,24.024,0.264
9.393,864.579,73.895,11.234,189.56,0.043,24.004,0.355
9.443,868.26,73.334,11.195,190.76,0.043,23.984,0.233
9.493,871.913,72.775,11.206,191.959,0.044,23.963,0.434
9.543,875.537,72.216,11.164,193.157,0.044,23.945,0.292
9.593,879.134,71.659,11.125,194.353,0.045,23.923,0.164
9.643,882.703,71.105,11.066,195.549,0.045,23.897,0.112
9.693,886.245,70.554,11.01,196.743,0.046,23.865,0.382
9.743,889.759,70.005,10.993,197.935,0.046,23.83,0.37
9.793,893.245,69.457,10.97,199.126,0.047,23.795,0.4
9.843,896.705,68.91,10.963,200.315,0.047,23.761,0.321
9.893,900.136,68.363,10.932,201.502,0.048,23.728,0.418
9.943,903.541,67.818,10.916,202.687,0.048,23.693,0.404
9.993,906.918,67.274,10.911,203.871,0.049,23.66,0.313
10.043,910.268,66.729,10.892,205.053,0.05,23.628,0.325
10.093,913.591,66.186,10.874,206.234,0.05,23.596,0.34
10.143,916.887,65.643,10.902,207.413,0.051,23.567,0.001
10.193,920.155,65.098,10.911,208.591,0.051,23.544,0.186
10.243,923.397,64.552,10.931,209.768,0.052,23.524,0.442
10.293,926.611,64.006,10.919,210.943,0.052,23.508,0.471
10.343,929.797,63.461,10.878,212.118,0.053,23.49,0.303
10.393,932.957,62.918,10.878,213.292,0.054,23.472,0.427
10.443,936.089,62.374,10.863,214.466,0.054,23.455,0.437
10.493,939.194,61.831,10.882,215.638,0.055,23.44,0.688
10.543,942.272,61.287,10.882,216.81,0.055,23.429,0.801
10.593,945.323,60.743,10.889,217.981,0.056,23.42,0.972
10.643,948.346,60.199,10.88,219.152,0.056,23.413,1.037
10.693,951.343,59.656,10.825,220.322,0.057,23.405,0.786
10.743,954.312,59.116,10.801,221.492,0.058,23.394,0.751
10.793,957.254,58.577,10.76,222.662,0.058,23.383,0.582
10.843,960.17,58.04,10.732,223.83,0.059,23.369,0.513
10.893,963.058,57.505,10.673,224.998,0.059,23.353,0.184
10.943,965.92,56.973,10.624,226.166,0.06,23.332,0.093
10.993,968.756,56.443,10.566,227.331,0.061,23.307,0.467
11.043,971.565,55.916,10.554,228.496,0.061,23.279,0.435
11.093,974.347,55.39,10.516,229.659,0.062,23.252,0.647
11.143,977.104,54.866,10.5,230.821,0.062,23.222,0.662
11.193,979.834,54.342,10.477,231.982,0.063,23.193,0.752
11.243,982.538,53.82,10.431,233.141,0.064,23.162,1.064
11.293,985.216,53.3,10.413,234.298,0.064,23.127,1.108
11.343,987.868,52.781,10.4,235.453,0.065,23.094,1.114
11.393,990.494,52.263,10.381,236.607,0.066,23.06,1.173
11.443,993.094,51.745,10.381,237.759,0.066,23.028,1.055
11.493,995.668,51.227,10.372,238.91,0.067,22.996,1.025
11.543,998.217,50.709,10.363,240.059,0.067,22.966,0.989
11.593,1000.739,50.192,10.352,241.207,0.068,22.936,0.984
11.643,1003.236,49.675,10.359,242.353,0.069,22.908,0.79
11.693,1005.707,49.158,10.346,243.497,0.069,22.882,0.808
11.743,1008.152,48.642,10.34,244.641,0.07,22.855,0.75
11.793,1010.571,48.126,10.315,245.783,0.071,22.829,0.895
11.843,1012.965,47.611,10.333,246.924,0.071,22.803,0.597
11.893,1015.332,47.095,10.319,248.063,0.072,22.78,0.632
11.943,1017.674,46.58,10.305,249.202,0.073,22.756,0.664
11.993,1019.99,46.065,10.299,250.339,0.073,22.733,0.618
12.043,1022.281,45.551,10.287,251.475,0.074,22.709,0.633
12.093,1024.545,45.037,10.274,252.61,0.075,22.686,0.653
12.143,1026.784,44.525,10.259,253.744,0.075,22.663,0.708
12.193,1028.998,44.012,10.256,254.876,0.076,22.639,0.637
12.243,1031.186,43.5,10.27,256.008,0.077,22.618,0.39
12.293,1033.348,42.987,10.26,257.138,0.077,22.598,0.39
12.343,1035.484,42.474,10.267,258.267,0.078,22.578,0.216
12.393,1037.595,41.961,10.252,259.396,0.079,22.56,0.277
12.443,1039.68,41.449,10.256,260.523,0.079,22.541,0.139
12.493,1041.74,40.936,10.266,261.65,0.08,22.525,0.068
12.543,1043.774,40.422,10.299,262.776,0.081,22.511,0.509
12.593,1045.782,39.908,10.29,263.901,0.081,22.499,0.511
12.643,1047.765,39.393,10.287,265.026,0.082,22.487,0.578
12.693,1049.722,38.879,10.31,266.15,0.083,22.476,0.91
12.743,1051.653,38.363,10.318,267.273,0.083,22.468,1.088
12.793,1053.558,37.846,10.367,268.397,0.084,22.462,1.668
12.843,1055.437,37.328,10.337,269.52,0.085,22.459,1.487
12.893,1057.291,36.812,10.321,270.642,0.086,22.453,1.43
12.943,1059.118,36.297,10.291,271.765,0.086,22.447,1.237
12.993,1060.92,35.782,10.275,272.887,0.087,22.44,1.185
13.043,1062.697,35.27,10.235,274.009,0.088,22.432,0.873
13.093,1064.447,34.758,10.238,275.13,0.088,22.424,1.022
13.143,1066.172,34.246,10.25,276.251,0.089,22.416,1.275
13.193,1067.872,33.734,10.229,277.372,0.09,22.41,1.17
13.243,1069.546,33.223,10.198,278.492,0.091,22.402,0.935
13.293,1071.194,32.714,10.186,279.612,0.091,22.394,0.923
13.343,1072.817,32.205,10.149,280.732,0.092,22.385,0.603
13.393,1074.415,31.699,10.106,281.851,0.093,22.374,0.178
13.443,1075.987,31.195,10.07,282.969,0.093,22.361,0.175
13.493,1077.534,30.692,10.063,284.087,0.094,22.347,0.159
13.543,1079.056,30.19,10.026,285.204,0.095,22.333,0.541
13.593,1080.553,29.689,10.007,286.32,0.096,22.318,0.693
13.643,1082.025,29.19,9.964,287.435,0.096,22.301,1.18
13.693,1083.472,28.693,9.952,288.55,0.097,22.283,1.248
13.743,1084.895,28.196,9.923,289.664,0.098,22.265,1.549
13.793,1086.292,27.702,9.847,290.777,0.099,22.244,2.44
13.843,1087.665,27.212,9.797,291.888,0.099,22.219,2.991
13.893,1089.013,26.723,9.785,292.998,0.1,22.192,3.096
13.943,1090.337,26.234,9.789,294.107,0.101,22.166,3.005
13.993,1091.637,25.746,9.777,295.215,0.102,22.141,3.108
14.043,1092.912,25.259,9.716,296.321,0.102,22.114,3.776
14.093,1094.163,24.774,9.747,297.426,0.103,22.086,3.382
14.143,1095.389,24.287,9.736,298.53,0.104,22.061,3.472
14.193,1096.591,23.801,9.739,299.632,0.105,22.036,3.393
14.243,1097.769,23.315,9.72,300.734,0.106,22.011,3.579
14.293,1098.923,22.829,9.745,301.834,0.106,21.987,3.228
14.343,1100.052,22.342,9.743,302.932,0.107,21.965,3.21
14.393,1101.157,21.856,9.745,304.03,0.108,21.943,3.134
14.443,1102.238,21.369,9.743,305.127,0.109,21.922,3.117
14.493,1103.294,20.882,9.754,306.222,0.109,21.902,2.919
14.543,1104.326,20.395,9.735,307.317,0.11,21.882,3.117
14.593,1105.334,19.909,9.732,308.411,0.111,21.862,3.11
14.643,1106.317,19.423,9.722,309.503,0.112,21.843,3.18
14.693,1107.276,18.937,9.725,310.595,0.113,21.824,3.101
14.743,1108.21,18.451,9.726,311.686,0.113,21.805,3.036
14.793,1109.121,17.965,9.72,312.775,0.114,21.787,3.061
14.843,1110.007,17.479,9.731,313.864,0.115,21.77,2.866
14.893,1110.869,16.994,9.701,314.952,0.116,21.752,3.206
14.943,1111.706,16.509,9.708,316.039,0.117,21.735,3.06
14.993,1112.52,16.024,9.721,317.126,0.117,21.718,2.849
15.043,1113.309,15.538,9.713,318.211,0.118,21.702,2.892
15.093,1114.074,15.053,9.708,319.296,0.119,21.686,2.91
15.143,1114.814,14.568,9.695,320.38,0.12,21.67,3.028
15.193,1115.53,14.083,9.693,321.463,0.121,21.655,3.004
15.243,1116.222,13.599,9.713,322.545,0.122,21.64,2.695
15.293,1116.89,13.113,9.695,323.627,0.122,21.625,2.871
15.343,1117.534,12.629,9.679,324.708,0.123,21.61,3.019
15.393,1118.153,12.145,9.696,325.788,0.124,21.596,2.759
15.443,1118.748,11.66,9.73,326.867,0.125,21.582,2.253
15.493,1119.319,11.173,9.735,327.946,0.126,21.57,2.135
15.543,1119.866,10.686,9.741,329.025,0.127,21.559,2
15.593,1120.388,10.199,9.751,330.102,0.127,21.548,1.798
15.643,1120.885,9.712,9.736,331.179,0.128,21.537,1.979
15.693,1121.359,9.225,9.744,332.256,0.129,21.526,1.814
15.743,1121.808,8.738,9.761,333.332,0.13,21.516,1.505
15.793,1122.233,8.25,9.764,334.407,0.131,21.506,1.406
15.843,1122.633,7.762,9.743,335.482,0.132,21.496,1.68
15.893,1123.009,7.275,9.74,336.557,0.133,21.487,1.685
15.943,1123.36,6.788,9.738,337.631,0.133,21.477,1.666
15.993,1123.688,6.301,9.744,338.705,0.134,21.467,1.537
16.043,1123.991,5.814,9.751,339.778,0.135,21.458,1.381
16.093,1124.269,5.327,9.745,340.851,0.136,21.45,1.444
16.143,1124.523,4.84,9.737,341.923,0.137,21.441,1.526
16.193,1124.753,4.353,9.73,342.995,0.138,21.432,1.588
16.243,1124.959,3.867,9.72,344.066,0.139,21.424,1.705
16.293,1125.14,3.381,9.712,345.137,0.139,21.415,1.768
16.343,1125.297,2.896,9.709,346.208,0.14,21.406,1.784
16.393,1125.429,2.411,9.7,347.278,0.141,21.398,1.868
16.443,1125.538,1.926,9.694,348.347,0.142,21.389,1.908
16.493,1125.622,1.441,9.692,349.417,0.143,21.38,1.909
16.543,1125.682,0.957,9.689,350.485,0.144,21.372,1.923
16.593,1125.718,0.473,9.686,351.554,0.145,21.364,1.947
# Event APOGEE occurred at t=16.643 seconds
16.643,1125.729,-0.011,9.681,352.622,0.146,21.356,1.977
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=16.644 seconds
# Event SIM_WARN occurred at t=16.693 seconds: Recovery device deployment at high speed (21.4 m/s):  "Parachute"
16.693,1125.717,-0.495,133.905,353.689,0.147,21.348,NaN
16.7,1125.713,-0.549,123.991,353.845,0.147,20.349,NaN
16.708,1125.708,-0.607,114.468,354.005,0.147,19.351,NaN
16.717,1125.702,-0.667,105.338,354.17,0.147,18.353,NaN
16.726,1125.696,-0.731,96.6,354.339,0.147,17.355,NaN
16.737,1125.688,-0.8,88.256,354.514,0.147,16.357,NaN
16.748,1125.678,-0.873,80.306,354.693,0.147,15.36,NaN
16.761,1125.667,-0.952,72.691,354.879,0.148,14.363,NaN
16.774,1125.653,-1.037,65.462,355.069,0.148,13.366,NaN
16.79,1125.637,-1.13,58.63,355.266,0.148,12.371,NaN
16.807,1125.617,-1.232,52.332,355.468,0.148,11.376,NaN
16.826,1125.592,-1.344,46.658,355.676,0.148,10.382,NaN
16.847,1125.562,-1.467,41.383,355.888,0.149,9.39,NaN
16.871,1125.525,-1.603,36.341,356.103,0.149,8.399,NaN
16.899,1125.479,-1.755,31.682,356.321,0.149,7.411,NaN
16.93,1125.421,-1.927,27.114,356.539,0.149,6.426,NaN
16.967,1125.346,-2.125,22.367,356.758,0.15,5.445,NaN
17.012,1125.245,-2.365,17.882,356.98,0.15,4.475,NaN
17.068,1125.105,-2.667,15.14,357.203,0.15,3.521,NaN
17.134,1124.917,-3.013,11.739,357.405,0.151,2.583,NaN
17.219,1124.641,-3.464,9.825,357.587,0.151,1.69,NaN
17.321,1124.263,-3.975,8.825,357.715,0.152,0.831,NaN
17.434,1123.784,-4.476,7.536,357.76,0.152,0.035,NaN
17.567,1123.155,-5.003,6.958,357.699,0.152,0.884,NaN
17.711,1122.404,-5.45,4.95,357.508,0.153,1.779,NaN
17.913,1121.24,-6.075,3.539,357.07,0.153,2.559,NaN
18.195,1119.439,-6.67,1.678,356.233,0.153,3.363,NaN
18.579,1116.802,-7.056,0.804,354.842,0.154,3.88,NaN
18.943,1114.237,-7.069,1.02,353.379,0.154,4.172,NaN
19.305,1111.677,-7.061,0.053,351.801,0.154,4.541,NaN
19.668,1109.112,-7.079,0.007,350.152,0.154,4.547,NaN
20.03,1106.552,-7.079,0.008,348.508,0.154,4.545,NaN
20.391,1103.992,-7.078,0.376,346.865,0.154,4.542,NaN
20.753,1101.432,-7.075,0.211,345.198,0.154,4.678,NaN
21.115,1098.873,-7.076,0.755,343.519,0.154,4.601,NaN
21.476,1096.316,-7.065,0.546,341.905,0.154,4.329,NaN
21.838,1093.758,-7.069,0.46,340.302,0.154,4.526,NaN
22.2,1091.2,-7.07,0.154,338.634,0.153,4.693,NaN
22.562,1088.643,-7.073,0.544,336.947,0.153,4.637,NaN
22.923,1086.087,-7.067,0.76,335.236,0.153,4.834,NaN
23.285,1083.533,-7.061,0.059,333.438,0.153,5.108,NaN
23.647,1080.976,-7.071,0.081,331.593,0.153,5.089,NaN
24.008,1078.421,-7.07,0.454,329.759,0.153,5.06,NaN
24.369,1075.868,-7.066,0.227,327.961,0.153,4.896,NaN
24.731,1073.314,-7.068,0.5,326.177,0.153,4.978,NaN
25.092,1070.762,-7.063,0.877,324.346,0.153,5.158,NaN
25.453,1068.211,-7.053,0.9,322.425,0.153,5.475,NaN
25.815,1065.659,-7.052,1.418,320.385,0.153,5.801,NaN
26.177,1063.112,-7.029,0.88,318.379,0.153,5.288,NaN
26.54,1060.557,-7.051,0.186,316.518,0.153,4.97,NaN
26.901,1058.005,-7.064,0.375,314.732,0.153,4.903,NaN
27.262,1055.456,-7.061,0.079,312.987,0.152,4.768,NaN
27.623,1052.906,-7.063,1.327,311.26,0.152,4.797,NaN
27.984,1050.363,-7.03,0.731,309.443,0.152,5.274,NaN
28.347,1047.811,-7.051,0.601,307.483,0.152,5.539,NaN
28.708,1045.263,-7.054,0.509,305.522,0.152,5.321,NaN
29.069,1042.716,-7.055,0.224,303.633,0.152,5.138,NaN
29.43,1040.169,-7.058,0.642,301.764,0.152,5.218,NaN
29.791,1037.625,-7.051,0.418,299.924,0.152,4.987,NaN
30.152,1035.079,-7.054,0.338,298.151,0.152,4.836,NaN
30.512,1032.534,-7.055,0.064,296.428,0.152,4.714,NaN
30.873,1029.989,-7.056,0.259,294.732,0.152,4.691,NaN
31.234,1027.446,-7.054,0.692,293.058,0.152,4.598,NaN
31.594,1024.904,-7.046,0.836,291.355,0.152,4.847,NaN
31.955,1022.363,-7.041,1.418,289.552,0.152,5.149,NaN
32.316,1019.825,-7.017,0.489,287.6,0.151,5.66,NaN
32.678,1017.278,-7.048,0.046,285.582,0.151,5.486,NaN
33.039,1014.736,-7.051,0.312,283.601,0.151,5.502,NaN
33.399,1012.196,-7.049,0.5,281.599,0.151,5.614,NaN
33.759,1009.657,-7.045,0.153,279.543,0.151,5.794,NaN
34.12,1007.117,-7.049,0.524,277.465,0.151,5.739,NaN
34.48,1004.579,-7.043,0.013,275.364,0.151,5.928,NaN
34.84,1002.04,-7.048,0.024,273.227,0.151,5.929,NaN
35.201,999.502,-7.047,0.476,271.093,0.151,5.921,NaN
35.561,996.966,-7.042,1.099,268.993,0.151,5.75,NaN
35.921,994.433,-7.023,0.632,266.993,0.151,5.354,NaN
36.282,991.894,-7.037,0.287,265.101,0.151,5.126,NaN
36.642,989.358,-7.042,0.071,263.272,0.15,5.023,NaN
37.002,986.823,-7.043,0.035,261.469,0.15,4.998,NaN
37.362,984.289,-7.042,0.775,259.668,0.15,5.01,NaN
37.722,981.757,-7.03,0.369,257.915,0.15,4.732,NaN
38.082,979.222,-7.038,0.444,256.187,0.15,4.864,NaN
38.442,976.69,-7.036,0.357,254.465,0.15,4.705,NaN
38.802,974.158,-7.037,0.166,252.795,0.15,4.576,NaN
39.162,971.626,-7.038,0.401,251.138,0.15,4.636,NaN
39.521,969.096,-7.035,0.226,249.497,0.15,4.492,NaN
39.881,966.565,-7.036,0.568,247.895,0.15,4.411,NaN
40.24,964.036,-7.03,0.356,246.346,0.15,4.206,NaN
40.6,961.507,-7.033,0.321,244.81,0.15,4.334,NaN
40.96,958.978,-7.032,0.464,243.272,0.15,4.219,NaN
41.319,956.45,-7.03,1.051,241.785,0.15,4.052,NaN
41.679,953.926,-7.013,1.668,240.261,0.15,4.43,NaN
42.039,951.404,-6.982,0.346,238.556,0.149,5.03,NaN
42.401,948.869,-7.029,0.529,236.757,0.149,4.914,NaN
42.76,946.344,-7.025,0.474,235.026,0.149,4.724,NaN
43.12,943.819,-7.026,1.041,233.358,0.149,4.554,NaN
43.479,941.297,-7.009,0.296,231.789,0.149,4.18,NaN
43.839,938.77,-7.027,0.694,230.265,0.149,4.285,NaN
44.198,936.248,-7.019,0.439,228.681,0.149,4.534,NaN
44.558,933.724,-7.023,0.906,227.023,0.149,4.692,NaN
44.917,931.203,-7.011,0.071,225.279,0.149,5.017,NaN
45.277,928.679,-7.025,0.563,223.471,0.149,5.038,NaN
45.636,926.159,-7.018,0.767,221.626,0.149,5.24,NaN
45.995,923.639,-7.013,0.168,219.694,0.149,5.516,NaN
46.354,921.117,-7.022,0.641,217.723,0.149,5.456,NaN
46.713,918.599,-7.014,0.053,215.806,0.149,5.226,NaN
47.072,916.078,-7.021,0.03,213.926,0.149,5.244,NaN
47.431,913.56,-7.02,1.009,212.047,0.148,5.233,NaN
47.79,911.045,-7.001,0.049,210.235,0.148,4.872,NaN
48.149,908.524,-7.019,0.185,208.483,0.148,4.874,NaN
48.508,906.008,-7.017,0.35,206.747,0.148,4.807,NaN
48.866,903.492,-7.015,0.313,205.001,0.148,4.933,NaN
49.225,900.976,-7.015,1.266,203.252,0.148,4.821,NaN
49.584,898.466,-6.987,0.491,201.604,0.148,4.368,NaN
49.944,895.947,-7.011,0.242,200.064,0.148,4.193,NaN
50.302,893.432,-7.013,0.977,198.576,0.148,4.106,NaN
50.661,890.921,-6.996,1.2,197.167,0.148,3.756,NaN
51.02,888.41,-6.987,0.088,195.741,0.148,4.187,NaN
51.379,885.893,-7.012,0.744,194.238,0.148,4.168,NaN
51.738,883.383,-7.001,0.757,192.698,0.148,4.434,NaN
52.096,880.872,-7,0.883,191.058,0.148,4.706,NaN
52.455,878.362,-6.995,0.667,189.427,0.148,4.389,NaN
52.814,875.85,-7.001,1.487,187.809,0.147,4.629,NaN
53.172,873.346,-6.969,0.137,186.054,0.147,5.161,NaN
53.533,870.83,-7.007,0.613,184.202,0.147,5.13,NaN
53.891,868.323,-7,0.081,182.404,0.147,4.911,NaN
54.249,865.814,-7.006,0.276,180.65,0.147,4.882,NaN
54.607,863.307,-7.004,0.75,178.884,0.147,4.981,NaN
54.965,860.801,-6.994,1.197,177.149,0.147,4.713,NaN
55.323,858.298,-6.978,1.102,175.384,0.147,5.141,NaN
55.682,855.791,-6.981,0.364,173.466,0.147,5.537,NaN
56.041,853.282,-7,0.311,171.502,0.147,5.408,NaN
56.399,850.778,-6.999,1.071,169.587,0.147,5.297,NaN
56.757,848.277,-6.98,1.018,167.76,0.147,4.914,NaN
57.116,845.773,-6.981,0.558,166.063,0.147,4.549,NaN
57.474,843.267,-6.993,0.485,164.396,0.147,4.748,NaN
57.832,840.765,-6.994,0.497,162.666,0.146,4.922,NaN
58.19,838.263,-6.993,0.388,160.873,0.146,5.1,NaN
58.547,835.761,-6.994,0.006,159.074,0.146,4.961,NaN
58.905,833.259,-6.996,0.352,157.3,0.146,4.962,NaN
59.263,830.759,-6.993,0.294,155.549,0.146,4.836,NaN
59.62,828.26,-6.993,0.189,153.839,0.146,4.731,NaN
59.977,825.76,-6.993,0.608,152.136,0.146,4.798,NaN
60.335,823.262,-6.986,0.401,150.46,0.146,4.581,NaN
60.692,820.764,-6.989,0.231,148.796,0.146,4.724,NaN
61.05,818.265,-6.99,0.339,147.093,0.146,4.807,NaN
61.407,815.769,-6.989,0.283,145.354,0.146,4.928,NaN
61.764,813.272,-6.988,0.941,143.576,0.146,5.029,NaN
62.121,810.778,-6.973,0.65,141.72,0.146,5.364,NaN
62.479,808.281,-6.981,0.124,139.841,0.146,5.132,NaN
62.837,805.785,-6.987,0.05,138.015,0.146,5.088,NaN
63.194,803.291,-6.987,0.82,136.202,0.145,5.07,NaN
63.551,800.799,-6.974,0.065,134.444,0.145,4.778,NaN
63.908,798.303,-6.985,0.779,132.732,0.145,4.798,NaN
64.265,795.812,-6.974,0.383,130.97,0.145,5.076,NaN
64.623,793.319,-6.981,0.749,129.131,0.145,5.212,NaN
64.98,790.828,-6.973,0.644,127.319,0.145,4.945,NaN
65.337,788.337,-6.975,0.172,125.593,0.145,4.715,NaN
65.694,785.845,-6.981,0.907,123.898,0.145,4.776,NaN
66.051,783.357,-6.966,0.048,122.136,0.145,5.1,NaN
66.408,780.865,-6.98,1.036,120.312,0.145,5.11,NaN
66.765,778.379,-6.96,0.212,118.556,0.145,4.74,NaN
67.122,775.887,-6.978,0.488,116.874,0.145,4.667,NaN
67.479,773.4,-6.974,1.257,115.179,0.145,4.84,NaN
67.836,770.917,-6.949,0.285,113.372,0.145,5.288,NaN
68.193,768.425,-6.975,0.289,111.462,0.144,5.387,NaN
68.55,765.938,-6.974,0.083,109.523,0.144,5.49,NaN
68.906,763.452,-6.975,0.061,107.561,0.144,5.519,NaN
69.263,760.967,-6.974,0.316,105.598,0.144,5.498,NaN
69.619,758.482,-6.972,0.323,103.619,0.144,5.61,NaN
69.975,755.998,-6.971,0.707,101.641,0.144,5.495,NaN
70.332,753.515,-6.963,0.95,99.727,0.144,5.243,NaN
70.688,751.033,-6.955,0.375,97.797,0.144,5.582,NaN
71.045,748.548,-6.968,0.972,95.828,0.144,5.449,NaN
71.402,746.069,-6.953,0.541,93.949,0.144,5.103,NaN
71.759,743.585,-6.964,0.631,92.162,0.144,4.91,NaN
72.115,741.104,-6.961,0.148,90.452,0.144,4.685,NaN
72.471,738.622,-6.967,0.304,88.773,0.144,4.737,NaN
72.827,736.142,-6.965,0.199,87.106,0.144,4.629,NaN
73.183,733.663,-6.965,0.169,85.445,0.143,4.7,NaN
73.539,731.183,-6.965,0.044,83.762,0.143,4.76,NaN
73.895,728.705,-6.965,0.766,82.065,0.143,4.776,NaN
74.251,726.229,-6.953,0.898,80.414,0.143,4.503,NaN
74.607,723.752,-6.949,0.764,78.753,0.143,4.823,NaN
74.964,721.274,-6.952,0.264,77.082,0.143,4.551,NaN
75.32,718.796,-6.96,0.516,75.477,0.143,4.457,NaN
75.676,716.321,-6.956,0.525,73.924,0.143,4.274,NaN
76.032,713.846,-6.955,0.106,72.37,0.143,4.461,NaN
76.387,711.37,-6.959,0.333,70.789,0.143,4.423,NaN
76.743,708.896,-6.957,0.152,69.238,0.143,4.305,NaN
77.099,706.422,-6.958,0.099,67.697,0.143,4.359,NaN
77.454,703.948,-6.957,0.15,66.141,0.143,4.394,NaN
77.81,701.476,-6.956,0.51,64.57,0.143,4.448,NaN
78.165,699.004,-6.951,1.445,63.021,0.143,4.267,NaN
78.521,696.538,-6.918,0.942,61.595,0.143,3.754,NaN
78.878,694.063,-6.938,0.492,60.194,0.142,4.09,NaN
79.234,691.59,-6.949,0.083,58.706,0.142,4.265,NaN
79.589,689.119,-6.953,0.364,57.195,0.142,4.236,NaN
79.945,686.65,-6.95,0.845,55.714,0.142,4.106,NaN
80.3,684.183,-6.939,0.765,54.201,0.142,4.407,NaN
80.656,681.714,-6.94,0.031,52.682,0.142,4.135,NaN
81.011,679.244,-6.95,0.379,51.212,0.142,4.13,NaN
81.366,676.777,-6.947,1.406,49.722,0.142,4.264,NaN
81.722,674.315,-6.914,1.139,48.119,0.142,4.762,NaN
82.078,671.847,-6.924,0.532,46.348,0.142,5.169,NaN
82.435,669.377,-6.942,0.514,44.54,0.142,4.98,NaN
82.79,666.912,-6.942,1.411,42.804,0.142,4.798,NaN
83.145,664.452,-6.911,0.224,41.189,0.142,4.298,NaN
83.501,661.981,-6.944,0.701,39.643,0.142,4.37,NaN
83.856,659.519,-6.936,1.507,38.137,0.142,4.122,NaN
84.212,657.061,-6.904,0.755,36.578,0.142,4.656,NaN
84.568,654.593,-6.933,0.569,34.869,0.141,4.924,NaN
84.924,652.129,-6.936,0.58,33.084,0.141,5.126,NaN
85.279,649.667,-6.935,0.742,31.301,0.141,4.92,NaN
85.633,647.207,-6.931,0.118,29.601,0.141,4.656,NaN
85.989,644.744,-6.94,0.022,27.955,0.141,4.615,NaN
86.343,642.284,-6.939,0.228,26.317,0.141,4.623,NaN
86.698,639.824,-6.938,0.956,24.664,0.141,4.704,NaN
87.052,637.367,-6.921,0.399,22.936,0.141,5.043,NaN
87.407,634.906,-6.934,0.079,21.12,0.141,5.184,NaN
87.762,632.447,-6.936,0.247,19.277,0.141,5.212,NaN
88.116,629.989,-6.935,0.347,17.446,0.141,5.124,NaN
88.471,627.532,-6.933,0.715,15.608,0.141,5.247,NaN
88.825,625.076,-6.925,0.616,13.704,0.141,5.5,NaN
89.18,622.62,-6.927,0.174,11.791,0.141,5.282,NaN
89.534,620.163,-6.932,0.233,9.93,0.141,5.22,NaN
89.889,617.707,-6.931,0.236,8.066,0.14,5.302,NaN
90.243,615.253,-6.93,0.201,6.203,0.14,5.219,NaN
90.597,612.798,-6.93,0.863,4.342,0.14,5.29,NaN
90.951,610.347,-6.917,0.203,2.523,0.14,4.985,NaN
91.306,607.891,-6.929,0.277,0.742,0.14,5.056,NaN
91.66,605.438,-6.927,0.3,-1.031,0.14,4.958,NaN
92.014,602.986,-6.926,0.458,-2.805,0.14,5.064,NaN
92.368,600.535,-6.923,0.421,-4.568,0.14,4.902,NaN
92.722,598.083,-6.923,0.853,-6.331,0.14,5.051,NaN
93.076,595.634,-6.913,0.718,-8.065,0.14,4.749,NaN
93.43,593.183,-6.916,0.05,-9.704,0.14,4.494,NaN
93.785,590.732,-6.924,0.028,-11.293,0.14,4.479,NaN
94.138,588.283,-6.924,0.324,-12.879,0.14,4.489,NaN
94.492,585.834,-6.921,1.827,-14.487,0.14,4.603,NaN
94.846,583.396,-6.865,0.725,-16.23,0.139,5.247,NaN
95.202,580.939,-6.912,0.321,-18.146,0.139,5.501,NaN
95.557,578.491,-6.919,0.682,-20.074,0.139,5.388,NaN
95.91,576.045,-6.912,0.563,-21.936,0.139,5.147,NaN
96.264,573.598,-6.914,0.085,-23.793,0.139,5.346,NaN
96.618,571.152,-6.919,0.145,-25.679,0.139,5.316,NaN
96.971,568.706,-6.918,0.458,-27.568,0.139,5.368,NaN
97.325,566.262,-6.913,0.366,-29.493,0.139,5.53,NaN
97.678,563.818,-6.914,0.525,-31.426,0.139,5.4,NaN
98.032,561.374,-6.911,0.333,-33.367,0.139,5.586,NaN
98.385,558.931,-6.913,0.908,-35.321,0.139,5.468,NaN
98.739,556.49,-6.9,0.191,-37.197,0.139,5.147,NaN
99.093,554.045,-6.913,1.172,-39.007,0.139,5.081,NaN
