# t=0開傘 (Up to date)
# 1065 data points written for 8 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (21.4 m/s):  "Parachute"
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral velocity (m/s),Angle of attack (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.958,1.677,12.309,47.296,0.167,7.354e-8,1.145,17.947
0.968,1.803,12.782,47.541,0.179,7.611e-8,1.186,17.286
0.974,1.88,13.066,47.688,0.186,7.764e-8,1.211,16.908
0.983,2,13.495,47.932,0.197,7.995e-8,1.248,16.366
0.993,2.137,13.974,48.203,0.21,8.251e-8,1.29,15.795
1.002,2.265,14.407,48.447,0.222,8.482e-8,1.328,15.353
1.012,2.411,14.891,48.672,0.235,8.738e-8,1.37,15.058
1.022,2.563,15.377,48.898,0.249,8.995e-8,1.413,14.778
1.025,2.609,15.523,48.965,0.253,9.071e-8,1.426,14.697
1.029,2.679,15.743,48.978,0.26,9.187e-8,1.445,14.578
1.036,2.787,16.072,48.996,0.27,9.36e-8,1.474,14.406
1.045,2.929,16.499,49.02,0.283,9.584e-8,1.511,14.191
1.055,3.097,16.989,49.267,0.298,9.84e-8,1.554,13.797
1.065,3.269,17.481,49.515,0.314,1.01e-7,1.597,13.264
1.071,3.375,17.777,49.664,0.324,1.025e-7,1.623,12.956
1.08,3.537,18.224,49.896,0.338,1.048e-7,1.662,12.51
1.09,3.722,18.722,50.153,0.355,1.074e-7,1.706,12.035
1.096,3.835,19.022,50.308,0.365,1.089e-7,1.732,11.761
# Event LAUNCHROD occurred at t=1.105 seconds
1.105,4.008,19.474,50.362,0.381,1.112e-7,1.771,11.41
1.119,4.275,20.151,50.442,0.406,1.237e-7,1.835,10.977
1.134,4.594,20.93,50.533,0.435,1.606e-7,1.909,10.51
1.157,5.094,22.106,51.07,0.48,2.635e-7,2.02,9.984
1.168,5.335,22.654,51.319,0.502,3.311e-7,2.071,9.875
1.184,5.707,23.481,51.682,0.536,4.57e-7,2.149,9.717
1.203,6.159,24.456,52.109,0.578,6.43e-7,2.239,9.513
1.231,6.872,25.933,52.694,0.643,1.004e-6,2.376,9.024
1.242,7.153,26.495,52.916,0.669,1.166e-6,2.428,8.85
1.258,7.584,27.341,53.025,0.708,1.439e-6,2.506,8.654
1.272,7.971,28.079,53.119,0.744,1.704e-6,2.575,8.539
1.293,8.571,29.19,53.337,0.799,2.153e-6,2.677,8.369
1.303,8.867,29.724,53.442,0.826,2.391e-6,2.726,8.258
1.318,9.321,30.527,53.637,0.868,2.776e-6,2.801,7.985
1.338,9.94,31.594,53.895,0.924,3.338e-6,2.9,7.639
1.368,10.909,33.204,54.275,1.013,4.299e-6,3.051,7.185
1.374,11.112,33.534,54.352,1.032,4.513e-6,3.082,7.101
1.383,11.422,34.031,54.566,1.06,4.847e-6,3.129,6.977
1.397,11.898,34.785,54.888,1.104,5.38e-6,3.201,6.791
1.418,12.632,35.925,55.419,1.172,6.243e-6,3.31,6.627
1.428,13.003,36.491,55.681,1.206,6.698e-6,3.364,6.554
1.443,13.57,37.343,55.856,1.258,7.419e-6,3.447,6.444
1.456,14.046,38.047,56,1.302,8.047e-6,3.516,6.379
1.475,14.778,39.108,56.443,1.37,9.051e-6,3.62,6.319
1.479,14.936,39.335,56.537,1.385,9.275e-6,3.642,6.305
1.485,15.175,39.676,56.697,1.407,9.616e-6,3.676,6.284
1.494,15.537,40.189,56.937,1.44,1.014e-5,3.727,6.251
1.504,15.937,40.75,57.2,1.477,1.074e-5,3.783,6.178
1.519,16.547,41.595,57.557,1.534,1.167e-5,3.868,5.994
1.532,17.1,42.352,57.876,1.586,1.255e-5,3.945,5.831
1.552,17.95,43.498,58.505,1.665,1.394e-5,4.064,5.588
1.565,18.53,44.269,58.925,1.719,1.493e-5,4.146,5.427
1.585,19.419,45.436,59.491,1.802,1.65e-5,4.271,5.185
1.593,19.792,45.921,59.725,1.838,1.718e-5,4.324,5.086
1.605,20.36,46.652,60.207,1.891,1.824e-5,4.405,4.985
1.616,20.864,47.296,60.628,1.939,1.92e-5,4.477,4.949
1.632,21.633,48.268,60.953,2.012,2.071e-5,4.588,4.89
1.644,22.212,48.991,61.194,2.067,2.188e-5,4.671,4.843
1.662,23.097,50.076,61.257,2.151,2.373e-5,4.798,4.63
1.678,23.913,51.059,61.314,2.23,2.55e-5,4.916,4.377
1.702,25.167,52.535,61.575,2.351,2.833e-5,5.1,4.002
1.711,25.631,53.072,61.67,2.396,2.942e-5,5.168,3.872
1.724,26.336,53.879,61.884,2.465,3.11e-5,5.273,3.678
1.739,27.141,54.791,62.127,2.544,3.308e-5,5.395,3.46
1.761,28.375,56.159,62.112,2.666,3.624e-5,5.583,3.147
1.767,28.699,56.513,62.108,2.698,3.709e-5,5.633,3.069
1.776,29.19,57.045,62.014,2.747,3.84e-5,5.709,2.952
1.789,29.935,57.839,61.872,2.822,4.043e-5,5.825,2.776
1.8,30.598,58.536,61.748,2.889,4.228e-5,5.929,2.622
1.817,31.606,59.572,61.008,2.992,4.518e-5,6.087,2.411
1.823,31.96,59.928,60.751,3.028,4.622e-5,6.143,2.338
1.832,32.495,60.458,60.127,3.083,4.782e-5,6.227,2.229
1.836,32.744,60.702,59.837,3.109,4.857e-5,6.266,2.178
1.842,33.121,61.066,59.512,3.148,4.972e-5,6.325,2.102
1.851,33.661,61.582,59.047,3.204,5.14e-5,6.41,1.991
1.864,34.481,62.35,58.694,3.289,5.399e-5,6.538,1.792
1.871,34.905,62.741,58.512,3.334,5.536e-5,6.605,1.691
1.881,35.545,63.326,58.357,3.401,5.746e-5,6.707,1.54
1.897,36.555,64.234,58.114,3.509,6.085e-5,6.869,1.306
1.912,37.525,65.1,59.245,3.613,6.421e-5,7.028,1.039
1.935,39.038,66.449,60.164,3.778,6.963e-5,7.285,0.619
1.953,40.244,67.515,60.586,3.911,7.411e-5,7.496,0.318
1.976,41.812,68.893,61.748,4.086,8.018e-5,7.779,0.071
2.004,43.765,70.59,62.204,4.309,8.809e-5,8.141,0.237
2.034,45.91,72.427,63.276,4.56,9.726e-5,8.552,0.65
2.05,47.077,73.417,63.817,4.698,1.025e-4,8.781,0.861
2.073,48.782,74.846,63.896,4.904,1.103e-4,9.122,1.059
2.093,50.291,76.088,63.963,5.09,1.176e-4,9.428,1.222
2.116,52.058,77.515,64.039,5.311,1.263e-4,9.789,1.339
2.144,54.253,79.249,64.007,5.591,1.377e-4,10.242,1.435
2.17,56.334,80.859,64.213,5.863,1.49e-4,10.674,1.568
2.195,58.375,82.409,64.414,6.135,1.606e-4,11.102,1.693
2.231,61.382,84.641,64.526,6.546,1.785e-4,11.737,1.847
2.243,62.402,85.388,65.177,6.688,1.848e-4,11.954,1.889
2.261,63.949,86.514,65.233,6.906,1.945e-4,12.285,1.975
2.287,66.22,88.137,65.066,7.232,2.093e-4,12.771,2.105
2.3,67.371,88.944,64.734,7.4,2.17e-4,13.017,2.158
2.319,69.117,90.152,64.787,7.657,2.29e-4,13.388,2.147
2.325,69.614,90.492,64.802,7.731,2.324e-4,13.493,2.142
2.333,70.362,91.004,65.027,7.843,2.377e-4,13.651,2.131
2.345,71.436,91.735,65.348,8.005,2.453e-4,13.878,2.11
2.363,73.097,92.862,65.768,8.258,2.574e-4,14.229,2.133
2.386,75.25,94.308,66.078,8.59,2.734e-4,14.683,2.172
2.421,78.541,96.488,66.417,9.109,2.987e-4,15.371,2.157
2.437,80.141,97.534,66.576,9.365,3.113e-4,15.702,2.122
2.46,82.402,98.997,66.751,9.731,3.295e-4,16.163,2.023
